address,total_transactions,in_transactions,out_transactions,in_out_ratio,total_amount,avg_amount,median_amount,std_amount,min_amount,max_amount,avg_in_amount,avg_out_amount,time_span_seconds,time_span_days,tx_per_day,unique_counterparties,account_type
0x7a3c8f60caff89a412952f82489fe630f0f78eb9,7545,7525,20,376.25,8020.952570748493,1.0630818516565266,0.1423,25.826447786123353,0.0,2000.968,0.532871544285514,200.55471,21336841,246.95417824074073,30.552226545625945,4889,Phisher
0x906b3f8b7845840188eab53c3f5ad348a787752f,10065,6559,3506,1.8707929264118655,5772.189115961141,0.5734912186747284,0.122,2.062865895597931,0.0,120.0,0.49681809377207997,0.7169307583884966,27539340,318.7423611111111,31.577227340960242,4085,Phisher
0x45555629aabfea138ead1c1e5f2ac3cce2add830,30909,22072,8837,2.4976802082154577,27.88522687287046,0.0009021717581568625,0.0,0.07592129139347344,0.0,8.0,4.729871118943966e-06,0.003143694597435004,29280303,338.89239583333335,91.20594141392594,7936,Phisher
0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2,10190,9226,964,9.570539419087137,2106.2579405248844,0.2066985221319808,0.0,1.0279705649967594,0.0,30.0,0.1263543719350613,0.9756353786846563,28029967,324.4209143518519,31.40981221990022,2310,Phisher
0x40949225c4a1745a9946f6aaf763241c082cb9ac,489,467,22,21.227272727272727,555.3327102991775,1.1356497143132465,0.504,1.803235321483269,0.0,11.21,1.0299674781995236,3.3789953627272724,10181731,117.8441087962963,4.149549816234587,268,Phisher
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,22120,10870,11250,0.9662222222222222,1267095.438175748,57.28279557756547,3.60059633,228.24201220075582,0.0,14353.2,50.87510525912137,63.47404835636436,68394386,791.6016898148148,27.943346110307942,7019,Phisher
0x744d70fdbe2ba4cf95131626614a1763df805b9e,12854,12744,110,115.85454545454546,230.5057052942562,0.017932605048565135,0.0,0.32440560494324705,0.0,19.5,0.0072602709289817475,1.254371023411935,48294199,558.9606365740741,22.99625261410796,4155,Phisher
0x0d8775f648430679a709e98d2b0cb6250d2887ef,11207,11206,1,11206.0,955523.3618575748,85.2612975691599,2.96,1611.2003938459977,0.0,156250.0,71.3254829428498,156250.0,51299323,593.7421643518519,18.87519646214434,6991,Phisher
0x6090a6e47849629b7245dfa1ca21d94cd15878ef,19902,12573,7329,1.715513712648383,150626.1535929452,7.568392804388765,0.01,286.51035836435597,0.0,29500.0,2.9914882966995213,15.42013524881186,48102715,556.744386574074,35.747104919129825,8345,Phisher
0xe00e1f7117a69c34694ac1815177c93491fc448f,286,228,58,3.9310344827586206,365.19420300450713,1.2769028077080669,0.50166859,2.1575774329619484,9e-06,15.0,0.8009397855362,3.1479298603836825,5362844,62.0699537037037,4.6077044195206875,200,Phisher
0xaf5bda8f8b954b03474305fd148c8361cad4d2cd,67,56,11,5.090909090909091,7.176232629251454,0.10710794969032023,0.007631280577654794,0.31450921542815913,0.0,2.0,0.06473629695091883,0.3228181818181818,17397586,201.36094907407409,0.33273581748640296,55,Phisher
